Gmt time,Open,High,Low,Close,Volume
20.09.2012 00:00:00.000,1770.773,1772.252,1755.500,1769.052,975101013.1836
21.09.2012 00:00:00.000,1769.052,1787.452,1768.663,1772.200,164253601.0742
22.09.2012 00:00:00.000,1772.200,1772.200,1772.200,1772.200,0
23.09.2012 00:00:00.000,1772.900,1772.900,1769.917,1769.935,183739486.6943
24.09.2012 00:00:00.000,1769.890,1770.052,1755.518,1764.490,485631225.5859
25.09.2012 00:00:00.000,1764.474,1774.993,1758.748,1760.873,565699890.1367
26.09.2012 00:00:00.000,1760.842,1765.552,1736.312,1754.552,506261169.4336
27.09.2012 00:00:00.000,1754.652,1780.243,1752.833,1777.163,699216064.4531
28.09.2012 00:00:00.000,1777.252,1783.159,1767.262,1771.700,79108703.6133
29.09.2012 00:00:00.000,1771.700,1771.700,1771.700,1771.700,0
30.09.2012 00:00:00.000,1771.700,1772.490,1765.350,1765.468,140282440.1855
01.10.2012 00:00:00.000,1765.417,1791.605,1763.362,1777.252,676371093.75
02.10.2012 00:00:00.000,1777.252,1784.262,1769.991,1772.996,923672180.1758
03.10.2012 00:00:00.000,1772.977,1781.753,1770.882,1779.952,715449218.75
04.10.2012 00:00:00.000,1779.952,1795.147,1777.952,1792.351,581771301.2695
05.10.2012 00:00:00.000,1792.370,1795.852,1772.392,1780.300,58539478.302
06.10.2012 00:00:00.000,1780.300,1780.300,1780.300,1780.300,0
07.10.2012 00:00:00.000,1780.300,1780.870,1776.452,1778.838,95022300.7202
08.10.2012 00:00:00.000,1778.812,1779.542,1766.483,1777.452,599570678.7109
09.10.2012 00:00:00.000,1777.452,1779.709,1760.362,1762.613,417496948.2422
10.10.2012 00:00:00.000,1762.572,1768.169,1756.915,1761.018,547853271.4844
11.10.2012 00:00:00.000,1761.241,1774.828,1758.443,1768.952,873575744.6289
12.10.2012 00:00:00.000,1768.952,1773.247,1752.119,1753.500,75151496.8872
13.10.2012 00:00:00.000,1753.500,1753.500,1753.500,1753.500,0
14.10.2012 00:00:00.000,1753.500,1754.750,1741.578,1742.221,252669265.7471
15.10.2012 00:00:00.000,1742.221,1749.052,1728.530,1735.652,730831176.7578
16.10.2012 00:00:00.000,1735.652,1749.852,1734.673,1748.913,751848205.5664
17.10.2012 00:00:00.000,1749.052,1753.452,1742.723,1748.169,716025695.8008
18.10.2012 00:00:00.000,1748.187,1752.160,1738.043,1741.821,2427156250
19.10.2012 00:00:00.000,1741.837,1742.985,1715.912,1721.100,69879600.5249
20.10.2012 00:00:00.000,1721.100,1721.100,1721.100,1721.100,0
21.10.2012 00:00:00.000,1721.100,1721.700,1713.414,1717.852,83530036.9263
22.10.2012 00:00:00.000,1717.852,1730.052,1717.452,1728.052,742270141.6016
23.10.2012 00:00:00.000,1728.052,1729.352,1703.807,1710.952,674741455.0781
24.10.2012 00:00:00.000,1710.952,1714.352,1698.442,1704.903,775552185.0586
25.10.2012 00:00:00.000,1704.903,1717.952,1704.553,1713.652,995658691.4063
26.10.2012 00:00:00.000,1713.652,1718.633,1700.652,1710.300,69861701.9653
27.10.2012 00:00:00.000,1710.300,1710.300,1710.300,1710.300,0
28.10.2012 00:00:00.000,1711.000,1713.852,1710.152,1713.652,108960517.8833
29.10.2012 00:00:00.000,1713.752,1717.252,1704.708,1708.097,504348541.2598
30.10.2012 00:00:00.000,1708.152,1715.163,1706.452,1711.156,746862060.5469
31.10.2012 00:00:00.000,1711.152,1725.913,1710.752,1720.033,672485290.5273
01.11.2012 00:00:00.000,1720.033,1726.923,1713.550,1715.647,682208923.3398
02.11.2012 00:00:00.000,1715.647,1716.530,1674.617,1677.400,88936798.0957
03.11.2012 00:00:00.000,1677.400,1677.400,1677.400,1677.400,0
04.11.2012 00:00:00.000,1677.300,1682.138,1675.180,1682.138,63599201.2024
05.11.2012 00:00:00.000,1682.118,1686.652,1672.506,1686.152,3185793701.1719
06.11.2012 00:00:00.000,1686.052,1720.852,1683.552,1711.352,2094260986.3281
07.11.2012 00:00:00.000,1711.348,1731.868,1703.052,1717.052,746183898.9258
08.11.2012 00:00:00.000,1717.052,1735.052,1712.652,1732.152,864996948.2422
09.11.2012 00:00:00.000,1732.152,1738.752,1727.013,1730.700,43244201.6602
10.11.2012 00:00:00.000,1730.700,1730.700,1730.700,1730.700,0
11.11.2012 00:00:00.000,1730.400,1736.352,1730.300,1734.852,28790700.9125
12.11.2012 00:00:00.000,1734.852,1737.953,1725.687,1726.452,466143280.0293
13.11.2012 00:00:00.000,1726.452,1733.052,1717.832,1726.252,479683380.127
14.11.2012 00:00:00.000,1726.252,1733.933,1720.643,1724.252,637262023.9258
15.11.2012 00:00:00.000,1724.252,1727.767,1704.793,1715.543,894924682.6172
16.11.2012 00:00:00.000,1715.503,1716.903,1705.686,1713.300,83745162.9639
17.11.2012 00:00:00.000,1713.300,1713.300,1713.300,1713.300,0
18.11.2012 00:00:00.000,1713.700,1718.373,1713.000,1717.533,63390998.8403
19.11.2012 00:00:00.000,1717.563,1735.511,1716.048,1729.952,683170410.1563
20.11.2012 00:00:00.000,1729.952,1735.553,1722.000,1726.403,921663330.0781
21.11.2012 00:00:00.000,1726.373,1731.952,1719.652,1730.752,455767822.2656
22.11.2012 00:00:00.000,1730.652,1732.552,1727.993,1729.555,693955017.0898
23.11.2012 00:00:00.000,1729.652,1754.291,1728.150,1749.200,248299804.6875
24.11.2012 00:00:00.000,1749.200,1749.200,1749.200,1749.200,0
25.11.2012 00:00:00.000,1752.000,1752.000,1749.502,1750.352,54390499.115
26.11.2012 00:00:00.000,1750.352,1752.152,1744.900,1749.452,982820617.6758
27.11.2012 00:00:00.000,1749.552,1751.752,1740.300,1741.703,628268127.4414
28.11.2012 00:00:00.000,1741.653,1743.052,1705.804,1722.452,891524536.1328
29.11.2012 00:00:00.000,1722.452,1728.366,1718.000,1725.863,1405738891.6016
30.11.2012 00:00:00.000,1725.863,1731.603,1708.397,1714.480,85549659.729
01.12.2012 00:00:00.000,1714.480,1714.480,1714.480,1714.480,0
02.12.2012 00:00:00.000,1714.800,1717.152,1711.750,1716.463,66524101.2573
03.12.2012 00:00:00.000,1716.452,1722.608,1712.750,1715.813,9154722656.25
04.12.2012 00:00:00.000,1715.813,1716.393,1691.252,1695.052,1023605834.9609
05.12.2012 00:00:00.000,1695.052,1706.760,1684.663,1692.363,728746093.75
06.12.2012 00:00:00.000,1692.352,1703.173,1685.840,1700.152,557041198.7305
07.12.2012 00:00:00.000,1700.152,1705.393,1683.352,1704.040,153334945.6787
08.12.2012 00:00:00.000,1704.040,1704.040,1704.040,1704.040,0
09.12.2012 00:00:00.000,1703.800,1705.052,1702.563,1703.452,75443397.522
10.12.2012 00:00:00.000,1703.452,1717.283,1702.752,1711.403,1204162353.5156
11.12.2012 00:00:00.000,1711.403,1714.293,1704.730,1709.089,911370788.5742
12.12.2012 00:00:00.000,1709.083,1723.263,1707.052,1709.005,843048522.9492
13.12.2012 00:00:00.000,1709.005,1709.782,1689.403,1696.613,1470057495.1172
14.12.2012 00:00:00.000,1696.613,1700.463,1693.063,1695.351,50562679.2908
